"timestamp","log_message","is_anomaly","anomaly_type"
"2025-04-06 08:00:00","Starting batch job","0","normal"
"2025-04-06 08:01:15","Connecting to PostgreSQL database...","0","normal"
"2025-04-06 08:02:30","Fetched 1000 records successfully","0","normal"
"2025-04-06 08:03:45","Transforming cost data...","0","normal"
"2025-04-06 08:04:30","WARN: Memory usage at 75%","1","high_memory_usage"
"2025-04-06 08:05:10","ERROR: Failed to connect to PostgreSQL database","1","db_connection_error"
"2025-04-06 08:06:00","Retrying connection in 10 seconds...","0","normal"
"2025-04-06 08:07:15","Connected successfully after retry","0","normal"
"2025-04-06 08:08:00","Loaded transformed data into warehouse","0","normal"
"2025-04-06 08:09:30","Disk usage at 98%","1","disk_full"
"2025-04-06 08:10:15","INFO: Cache cleared successfully","0","normal"
"2025-04-06 08:11:00","API call returned status code 200","0","normal"
"2025-04-06 08:12:30","ERROR: TypeError: Cannot read property 'map' of undefined","1","react_render_error"
"2025-04-06 08:13:45","React component rendered successfully","0","normal"
"2025-04-06 08:14:00","Job completed in 14 minutes","0","normal"
"2025-04-06 08:15:15","Starting new pipeline: billing_data_pipeline","0","normal"
"2025-04-06 08:16:00","Fetching data from Azure API","0","normal"
"2025-04-06 08:17:30","ERROR: Timeout exceeded while fetching data","1","timeout_error"
"2025-04-06 08:19:30","WARNING: High GC pause detected","1","high_memory_usage"
"2025-04-06 08:20:00","API call failed with error: 502 Bad Gateway","1","api_call_failure"
"2025-04-06 08:21:15","INFO: Retrying failed API call...","0","normal"
"2025-04-06 08:22:30","Successfully fetched data after retry","0","normal"
"2025-04-06 08:23:45","INFO: Writing data to HDFS node hdfs-node-03","0","normal"
"2025-04-06 08:24:00","ERROR: Write failed - No space left on device","1","disk_full"
"2025-04-06 08:25:15","INFO: Archiving old logs to free up space","0","normal"
"2025-04-06 08:26:30","INFO: Disk usage reduced to 82%","0","normal"
"2025-04-06 08:27:45","INFO: Data successfully written to HDFS","0","normal"
"2025-04-06 08:28:00","INFO: Starting validation checks...","0","normal"
"2025-04-06 08:29:15","INFO: Validation passed for all records","0","normal"
"2025-04-06 08:30:30","INFO: Job completed successfully","0","normal"
"2025-04-06 08:31:45","INFO: Next job scheduled for 12:00 AM","0","normal"
"2025-04-06 08:32:00","ERROR: Connection refused by Redis server","1","db_connection_error"
"2025-04-06 08:33:15","INFO: Attempting reconnect...","0","normal"
"2025-04-06 08:34:30","INFO: Reconnected successfully","0","normal"
"2025-04-06 08:35:45","INFO: Cache refreshed successfully","0","normal"
"2025-04-06 08:36:00","ERROR: Request failed: 504 Gateway Timeout","1","timeout_error"
"2025-04-06 08:37:15","INFO: Triggering fallback mechanism...","0","normal"
